id,class,order,family,species,iucn,criteria,population,systems,realm
56063010,Reptilia,Squamata,Liolaemidae,Liolaemus inti,LC,,Stable,Terrestrial,Neotropical
56063030,Reptilia,Squamata,Liolaemidae,Liolaemus irregularis,LC,,Stable,Terrestrial,Neotropical
56063046,Reptilia,Squamata,Liolaemidae,Liolaemus isabelae,EN,B1ab(iii),Decreasing,Terrestrial,Neotropical
56063101,Reptilia,Squamata,Liolaemidae,Liolaemus jamesi,LC,,Stable,Terrestrial,Neotropical
56063125,Reptilia,Squamata,Liolaemidae,Liolaemus josei,LC,,Unknown,Terrestrial,Neotropical
56063733,Reptilia,Squamata,Liolaemidae,Liolaemus velosoi,LC,,Stable,Terrestrial,Neotropical
56064105,Reptilia,Squamata,Liolaemidae,Liolaemus kingii,LC,,Stable,Terrestrial,Neotropical
56064151,Reptilia,Squamata,Liolaemidae,Liolaemus kolengh,LC,,Stable,Terrestrial,Neotropical
56064174,Reptilia,Squamata,Liolaemidae,Liolaemus koslowskyi,LC,,Unknown,Terrestrial,Neotropical
56064183,Reptilia,Squamata,Liolaemidae,Liolaemus kriegi,LC,,Stable,Terrestrial,Neotropical
56064216,Reptilia,Squamata,Liolaemidae,Liolaemus laurenti,LC,,Stable,Terrestrial,Neotropical
56064240,Reptilia,Squamata,Liolaemidae,Liolaemus lavillai,LC,,Stable,Terrestrial,Neotropical
56064277,Reptilia,Squamata,Liolaemidae,Liolaemus lentus,DD,,Unknown,Terrestrial,Neotropical
56064318,Reptilia,Squamata,Liolaemidae,Liolaemus lineomaculatus,LC,,Unknown,Terrestrial,Neotropical
56064342,Reptilia,Squamata,Liolaemidae,Liolaemus loboi,EN,B1ab(iii)+2ab(iii),Stable,Terrestrial,Neotropical
56064369,Reptilia,Squamata,Liolaemidae,Liolaemus lopezi,LC,,Stable,Terrestrial,Neotropical
56064503,Reptilia,Squamata,Liolaemidae,Liolaemus magellanicus,LC,,Unknown,Terrestrial,Neotropical
56064748,Reptilia,Squamata,Liolaemidae,Liolaemus manueli,EN,B1ab(iii),Decreasing,Terrestrial,Neotropical
56065022,Reptilia,Squamata,Liolaemidae,Liolaemus martorii,VU,"B2ab(ii,iii)",Decreasing,Terrestrial,Neotropical
